Date,Price,Vol.,Change %,SMA_30,EMA_30,month,quarter,day_of_week
2016-01-04,55.59,120.0,0.0599,41.992666666666665,41.95,1,1,0
2016-01-05,55.59,400.0,-0.0062,41.992666666666665,41.93322580645162,1,1,1
2016-01-06,55.59,210.0,-0.0137,41.992666666666665,41.880759625390226,1,1,2
2016-01-07,55.59,10.0,0.0005,41.992666666666665,41.832968681816666,1,1,3
2016-01-08,55.59,90.0,-0.0019,41.992666666666665,41.783099734602686,1,1,4
2016-01-11,55.59,70.0,-0.0144,41.992666666666665,41.69838362269284,1,1,0
2016-01-12,55.59,40.0,-0.0034999999999999996,41.992666666666665,41.61010080832556,1,1,1
2016-01-13,55.59,240.0,0.0022,41.992666666666665,41.53332011101424,1,1,2
2016-01-14,55.59,70.0,0.0042,41.992666666666665,41.47246074901332,1,1,3
2016-01-15,55.59,40.0,0.0049,41.992666666666665,41.428431023270534,1,1,4
2016-01-19,55.59,120.0,0.013000000000000001,41.992666666666665,41.42143547338211,1,1,1
2016-01-20,55.59,20.0,-0.0031,41.992666666666665,41.40650415251875,1,1,2
2016-01-21,55.59,40.0,-0.0024,41.992666666666665,41.3860845297756,1,1,3
2016-01-22,55.59,40.0,0.0005,41.992666666666665,41.36827262462879,1,1,4
2016-01-25,55.59,40.0,0.0,41.992666666666665,41.35160987465274,1,1,0
2016-01-26,55.59,10.0,0.0,41.992666666666665,41.336022140804175,1,1,1
2016-01-27,55.59,40.0,0.0005,41.992666666666665,41.32273038978455,1,1,2
2016-01-28,55.59,40.0,0.0005,41.992666666666665,41.311586493669424,1,1,3
2016-01-29,55.59,10.0,0.0005,41.992666666666665,41.302451881174626,1,1,4
2016-02-01,55.59,30.0,0.0347,41.992666666666665,41.38616466303433,2,1,0
2016-02-02,55.59,40.0,0.013600000000000001,41.992666666666665,41.50189597509664,2,1,1
2016-02-03,55.59,40.0,0.0116,41.992666666666665,41.64241881541299,2,1,2
2016-02-04,55.59,10.0,0.008199999999999999,41.992666666666665,41.79710147248312,2,1,3
2016-02-05,55.59,40.0,0.0,41.992666666666665,41.94180460329066,2,1,4
2016-02-08,55.59,40.0,0.0,41.992666666666665,42.07717204823966,2,1,0
2016-02-09,55.59,40.0,-0.0064,41.992666666666665,42.18574159351452,2,1,1
2016-02-10,55.59,40.0,-0.0101,41.992666666666665,42.258919555223265,2,1,2
2016-02-11,55.59,30.0,0.0002,41.992666666666665,42.32802151940241,2,1,3
2016-02-12,55.59,40.0,0.0021,41.992666666666665,42.3984717439571,2,1,4
2016-02-16,55.59,50.0,0.0233,41.992666666666665,42.52953808305665,2,1,1
2016-02-17,55.59,40.0,0.0025,42.07899999999999,42.65924530350461,2,1,2
2016-02-18,55.59,40.0,0.0079,42.18566666666666,42.80316496134303,2,1,3
2016-02-19,55.59,50.0,0.0067,42.321333333333335,42.95715431867574,2,1,4
2016-02-22,55.59,40.0,0.0089,42.46966666666666,43.12701533037408,2,1,0
2016-02-23,55.59,40.0,0.0042,42.626999999999995,43.29817563164027,2,1,1
2016-02-24,55.59,40.0,0.0039000000000000003,42.809999999999995,43.46990623605058,2,1,2
2016-02-25,55.59,40.0,0.0022,43.001,43.63700905953119,2,1,3
2016-02-26,55.59,40.0,0.0033,43.193999999999996,43.80300847504531,2,1,4
2016-02-29,55.59,40.0,0.0026,43.38533333333333,43.96604018633271,2,1,0
2016-03-01,55.59,180.0,0.0635,43.668,44.30823114205319,3,1,1
2016-03-02,55.59,50.0,0.0319,43.98533333333333,44.729635584501374,3,1,2
2016-03-03,55.59,410.0,-0.0089,44.292,45.094820385501286,3,1,3
2016-03-04,55.59,410.0,0.0341,44.65933333333333,45.54741261869475,3,1,4
2016-03-07,58.81,70.0,0.1286,45.24933333333333,46.40306341748864,3,1,0
2016-03-08,56.3,10.0,-0.042699999999999995,45.75566666666666,47.04157545507002,3,1,1
2016-03-09,55.65,90.0,-0.0115,46.24033333333333,47.59695768377518,3,1,2
2016-03-10,55.84,10.0,0.0034000000000000002,46.730666666666664,48.12876686546711,3,1,3
2016-03-11,55.59,20.0,-0.009300000000000001,47.203,48.59271739027569,3,1,4
2016-03-14,55.59,30.0,-0.004,47.66733333333333,49.01254207477403,3,1,0
2016-03-15,55.59,20.0,-0.0129,48.06033333333333,49.35947484414345,3,1,1
2016-03-16,55.59,10.0,0.0097,48.45166666666667,49.71821840258581,3,1,2
2016-03-17,55.59,40.0,0.0055000000000000005,48.83633333333333,50.07317205403189,3,1,3
2016-03-18,55.59,40.0,0.0058,49.21966666666666,50.42587063119113,3,1,4
2016-03-21,55.74,70.0,0.0036,49.60966666666666,50.76871768724332,3,1,0
2016-03-22,55.77,40.0,0.0005,50.00066666666667,51.091381062259885,3,1,1
2016-03-23,55.78,40.0,0.0002,50.40133333333333,51.39387260663022,3,1,2
2016-03-24,55.82,40.0,0.0007000000000000001,50.818000000000005,51.67942921265408,3,1,3
2016-03-28,55.79,40.0,-0.0005,51.233333333333334,51.94462732796672,3,1,0
2016-03-29,55.75,40.0,-0.0007000000000000001,51.644333333333336,52.19013524229145,3,1,1
2016-03-30,55.64,40.0,-0.002,52.018,52.41270716214362,3,1,2
2016-03-31,55.59,40.0,-0.0022,52.384,52.61317766781177,3,1,3
2016-04-01,55.59,180.0,-0.042300000000000004,52.66,52.64910168924327,4,2,4
2016-04-04,55.59,40.0,0.0141,52.951,52.73109512864693,4,2,0
2016-04-05,55.59,120.0,-0.0139,53.20366666666667,52.75941157196003,4,2,1
2016-04-06,55.59,50.0,-0.0083,53.43533333333333,52.757514051188416,4,2,2
2016-04-07,55.59,50.0,0.0102,53.679,52.79057766078917,4,2,3
2016-04-08,55.59,140.0,0.0034000000000000002,53.925333333333334,52.83312103751245,4,2,4
2016-04-11,55.59,190.0,0.0253,54.21166666666667,52.96001645444713,4,2,0
2016-04-12,56.07,50.0,0.0232,54.53633333333334,53.160660554160216,4,2,1
2016-04-13,56.6,30.0,0.0095,54.78066666666667,53.38255342163375,4,2,2
2016-04-14,56.17,100.0,-0.0076,54.958333333333336,53.56238868475416,4,2,3
2016-04-15,56.09,40.0,-0.0014000000000000002,55.14833333333333,53.72546038251196,4,2,4
2016-04-18,56.98,10.0,0.0159,55.31066666666666,53.93543068041441,4,2,0
2016-04-19,57.41,40.0,0.0075,55.264,54.15959644296832,4,2,1
2016-04-20,58.03,180.0,0.0108,55.32166666666667,54.40929989826069,4,2,2
2016-04-21,58.5,80.0,0.008100000000000001,55.416666666666664,54.673216033856775,4,2,3
2016-04-22,58.7,10.0,0.0034000000000000002,55.51200000000001,54.933008547801506,4,2,4
2016-04-25,58.95,40.0,0.0043,55.633,55.19216928665303,4,2,0
2016-04-26,59.1,40.0,0.0025,55.766333333333336,55.444287397191545,4,2,1
2016-04-27,59.13,40.0,0.0005,55.92433333333334,55.682075307050155,4,2,2
2016-04-28,59.3,40.0,0.0029,56.07033333333334,55.9154898033695,4,2,3
2016-04-29,59.58,40.0,0.004699999999999999,56.21566666666667,56.151909816055344,4,2,4
2016-05-02,64.0,40.0,0.0742,56.49766666666667,56.65823821501952,5,2,0
2016-05-03,60.63,170.0,-0.0527,56.66066666666667,56.91448091082472,5,2,1
2016-05-04,59.32,130.0,-0.0216,56.779,57.06967569077152,5,2,2
2016-05-05,58.33,90.0,-0.0167,56.864000000000004,57.1509869365282,5,2,3
2016-05-06,58.3,80.0,-0.0005,56.946666666666665,57.225116811590894,5,2,4
2016-05-09,55.84,110.0,-0.042199999999999994,56.94833333333334,57.13575443664955,5,2,0
2016-05-10,56.23,180.0,0.006999999999999999,56.964333333333336,57.07731866654313,5,2,1
2016-05-11,56.51,40.0,0.005,56.99333333333334,57.04071746225003,5,2,2
2016-05-12,55.66,40.0,-0.015,56.998000000000005,56.95163891629842,5,2,3
2016-05-13,55.59,40.0,-0.0031,57.07533333333333,56.85733963137594,5,2,4
2016-05-16,55.59,10.0,0.0018,57.131,56.7755757841904,5,2,0
2016-05-17,56.55,40.0,0.0173,57.24366666666666,56.761022507791026,5,2,1
2016-05-18,56.21,40.0,-0.006,57.359666666666676,56.7254726685787,5,2,2
2016-05-19,56.11,40.0,-0.0018,57.45433333333333,56.68576475447685,5,2,3
2016-05-20,56.0,40.0,-0.002,57.53933333333334,56.64152186709125,5,2,4
2016-05-23,55.78,40.0,-0.0039000000000000003,57.571999999999996,56.585939811149885,5,2,0
2016-05-24,55.65,10.0,-0.0023,57.558,56.52555659752732,5,2,1
2016-05-25,55.59,40.0,-0.0040999999999999995,57.51866666666667,56.45423036542879,5,2,2
2016-05-26,55.59,40.0,-0.0052,57.484,56.368796148304355,5,2,3
2016-05-27,55.59,40.0,-0.0034000000000000002,57.44566666666667,56.27661575163956,5,2,4
2016-05-31,55.59,40.0,-0.008199999999999999,57.36266666666667,56.16135021927572,5,2,1
2016-06-01,55.59,200.0,-0.129,57.031,55.599972785774064,6,2,2
2016-06-02,55.59,10.0,0.0048,56.68633333333333,55.08965196088542,6,2,3
2016-06-03,55.59,40.0,0.0105,56.342666666666666,54.644513124699266,6,2,4
2016-06-06,55.59,160.0,0.041100000000000005,56.05833333333333,54.35583485858964,6,2,0
2016-06-07,55.59,40.0,0.004,55.77233333333333,54.0986842225516,6,2,1
2016-06-08,55.59,80.0,-0.0014000000000000002,55.479,53.85360782109666,6,2,2
